1694-1,Galactic Scout,1992,Space,23
1704-1,Ice Planet Satellite Plough,1994,Space,47
1711-1,Ice Planet Scooter,1994,Space,21
1714-1,Surveillance Scooter,1995,Space,23
1731-1,Ice Planet Scooter,1994,Space,23
1737-1,Scorpion Detector,1996,Space,195
1761-1,Paradisa Speedboat,1995,Town,21
1782-1,Discovery Station,1997,Town,329
1785-1,Introducing Crater Critters,1995,Space,146
1787-1,Crater Cruiser,1995,Space,183
1789-1,Star Hawk II,1995,Space,292
1793-1,Space Station Zenon,1995,Space,351
1807-1,Santa Claus and Sleigh,1995,Seasonal,17
1815-1,Paradisa Lifeguard,1996,Town,38
1843-1,Space/Castle Value Pack,1996,Technic,31
1843-2,Spyrius Fold-Wing Spacecraft,1996,Space,60
1858-1,Droid Scout,1996,Space,23
1875-1,Meteor Monitor,1990,Space,32
1887-1,Scout Patrol Ship,1992,Space,30
1916-1,Starion Patrol,1993,Space,23
1924-1,Motorcycle,1983,Model,103
1954-1,Surveillance Scooter,1995,Space,23
1968-1,Space Express,1985,Space,183
1969-1,Mini Robot,1993,Space,38
1969-2,Space Value Pack,1985,Space,19
1972-1,Go-Cart,1985,Model,98
1974-4,Star Quest,1989,Space,37
1977-1,Space Value Pack,1983,Space,19
1978-1,Build-A-Santa,1991,Seasonal,39
1979-1,Snowman,1991,Seasonal,42
1980-1,Santa's Elves,1991,Seasonal,30
1983-1,Space Value Pack,1984,Space,19
1999-1,Space Value Pack,1985,Space,19
20002-1,Fire Truck,2008,City,56
2000409-1,Window Exploration Bag,2010,Educational,1024
2000414-1,Starter Kit,2010,Educational,239
2000416-1,Duck,2012,Educational,12
2000424-1,Story Starter (Sample Set),2014,Educational,96
2000445-1,Crossing the River,2016,Educational,14
2000445-1,Crossing the River,2016,Educational,14
20005-1,Winged Rahi (Klakk),2008,Bionicle,38
20006-1,Clone Turbo Tank - Mini,2008,Star Wars,64
20007-1,Republic Attack Cruiser - Mini,2009,Star Wars,84
20009-1,AT-TE Walker - Mini,2009,Star Wars,94
20010-1,Republic Gunship - Mini,2009,Star Wars,94
20012-1,Click,2009,Bionicle,33
20016-1,Imperial Shuttle - Mini,2010,Star Wars,70
20018-1,AT-AT Walker - Mini,2010,Star Wars,83
20019-1,Slave I,2011,Star Wars,76
20021-1,Bounty Hunter Gunship - Mini,2011,Star Wars,81
20021-1,Bounty Hunter Gunship - Mini,2011,Star Wars,81
20021-1,Bounty Hunter Gunship - Mini,2011,Star Wars,81
20021-1,Bounty Hunter Gunship - Mini,2011,Star Wars,81
2008-1,Heart 2008,2008,Seasonal,92
2009-2,Heart 2009,2009,Seasonal,92
2064-1,Air Ambulance,2007,City,115
2070-1,Ring Me Rabbit,1987,Duplo,3
2125-1,Green Bucket,1997,Duplo,69
2129-1,Blast-Off Dragster,1997,Model,63
2151-1,Robo Raider,1997,Space,137
2152-1,Robo Raptor,1997,Space,222
2153-1,Robo Stalker,1997,Space,279
2154-1,Robo Master,1997,Space,362
2230-1,Helicopter and Raft,2008,City,106
2234-1,Police Chase,1998,Town,150
2250-1,Advent Calendar 2000,2000,Seasonal,240
2304-1,Large Building Plate,1992,Duplo,1
2312-1,Duplo Supplementary Bricks,1987,Duplo,39
245-2,Two Santas and Tree,1978,Seasonal,39
246-2,Santa with Sleigh and Reindeer,1977,Seasonal,68
2490-1,Insectoids Combi Set (Woolworth's UK promo),1998,Space,19
2536-1,Divers Jet Ski,1998,Town,24
2537-1,Extreme Team Raft,1998,Town,20
2543-1,Spacecraft,1998,Space,21
2544-1,SHELL Promotional Set: TECHNIC Microbike,1998,Model,27
2613-1,Refuse Truck,1990,Duplo,1
2617-1,Tow Truck,1989,Duplo,4
2636-1,Tow Truck,1984,Duplo,2
2649-1,Sea Explorer,1984,Duplo,41
2734-1,Straight Track (Straight Rails),1993,Duplo,6
2735-1,Curved Track (Curved Rails),1993,Duplo,6
2775-1,Bathroom,1991,Duplo,7
2824-1,Advent Calendar 2010 City,2010,Seasonal,24
2847-1,Flyer,1997,Space,21
2853300-1,Space Police Collection,2009,Space,21
2853301-1,CITY Transport Collection,2009,City,14
2853302-1,CITY Construction Collection,2009,City,13
2853303-1,Bionicle Glatorian Legends Collection,2009,Bionicle,9
2853590-1,Stormtrooper,2009,Star Wars,27
2853835-1,White Boba Fett Figure,2010,Star Wars,28
2854-1,Bungee Chopper,1998,Technic,70
2856197-1,Shadow ARF Trooper,2011,Star Wars,28
2866-1,Animal Playground,1998,Duplo,28
2870-1,Paradisa Barbeque,1997,Town,21
2871-1,Diver and Shark,1997,Town,17
2873-1,Small Santa Claus,1997,Seasonal,15
2876-1,Christmas Set,1997,Seasonal,16
2878-1,Santa Claus,1997,Seasonal,16
2878-2,Santa Claus Mos Burger Gift Box 1- Hawaiian Shirt Santa,2001,Seasonal,11
2878-3,Santa Claus Mos Burger Gift Box 2 - Tuxedo Santa,2001,Seasonal,13
2878-4,Santa Claus Mos Burger Gift Box 3 - Soccer Santa,2001,Seasonal,14
2912-1,Radical Racer,2000,Duplo,16
2928-1,Airline Promotional Set,2006,City,137
2928-2,Airline Promotional Set - ANA limited edition,2008,City,137
2933-1,Freight Train,2000,Duplo,79
2949-1,RC Dozer,2001,Duplo,22
2962-1,Res-Q Lifeguard,1998,Town,69
2963-1,Extreme Team Racer,1998,Town,83
2964-1,Space Spider,1998,Space,45
2965-1,Hornet Scout,1998,Space,72
2981-1,Pooh's Corner,1999,Duplo,1
2982-1,Pooh's Birthday,1999,Duplo,9
30000-1,Doctor With Car,2009,City,30
3000-1,Trike Buggy,1999,Model,30
30001-1,Fireman's Car,2009,City,39
30002-1,Police Boat,2009,City,30
30003-1,Road Roller,2009,City,31
30004-1,Battle Droid on STAP,2009,Star Wars,31
30005-1,Imperial Speeder Bike,2009,Star Wars,33
30006-1,Clone Walker,2009,Star Wars,31
30008-1,Snowman,2009,Seasonal,44
30009-1,Christmas Tree,2009,Seasonal,47
30010-1,Fire Chief,2010,City,31
3001-1,Kabaya Promotional Set: Propeller Buggy,1999,Model,29
30011-1,Police Dinghy,2010,City,16
30012-1,Mini Airplane,2010,City,34
30013-1,Police Quad,2010,City,30
30014-1,Police Helicopter,2011,City,32
30015-1,Jet Ski,2011,City,24
30016-1,Small Satellite,2011,City,34
30017-1,Police Boat,2012,City,35
30018-1,Police Plane,2012,City,32
30019-1,Fire Helicopter,2012,City,37
30028-1,Wreath,2011,Seasonal,50
3003-1,Motorbike,1999,Model,28
30050-1,Republic Attack Shuttle - Mini,2010,Star Wars,54
3005-1,Kabaya Promotional Set: Car,1999,Model,26
30051-1,X-wing Fighter - Mini,2010,Star Wars,61
30052-1,AAT - Mini,2011,Star Wars,46
30053-1,Republic Attack Cruiser - Mini,2011,Star Wars,41
30054-1,AT-ST - Mini,2011,Star Wars,46
30055-1,Vulture Droid - Mini,2011,Star Wars,42
30056-1,Star Destroyer,2012,Star Wars,38
30057-1,Anakin's Pod Racer,2012,Star Wars,38
30058-1,STAP,2012,Star Wars,29
30059-1,MTT,2012,Star Wars,51
30066-1,Circus Clown Polybag,2013,Duplo,3
30066-2,Circus Ringmaster Polybag,2013,Duplo,3
30066-4,Circus Tiger Polybag,2013,Duplo,3
30066-5,Circus Rabbit Polybag,2013,Duplo,3
30067-1,Duplo Farm Polybag (farmer),2014,Duplo,5
30067-2,Duplo Farm Polybag (calf),2014,Duplo,5
30067-3,Duplo Farm Polybag (goat),2014,Duplo,5
30067-4,Duplo Farm Polybag (cat),2014,Duplo,5
30068-1,Food,2014,Duplo,6
3012-1,Space Hover,1999,Space,23
3013-1,Space Jet,1999,Space,23
30140-1,ADU Walker,2011,Space,34
3014-1,Ice Planet Scooter,1999,Space,23
30141-1,ADU Jetpack,2011,Space,23
30150-1,Race Car,2012,City,35
3015-1,Space Police Car,1999,Space,23
30151-1,Mining Dozer,2012,City,33
30152-1,Mining Quad,2012,City,40
30182-1,Santa,2012,Seasonal,57
30186-1,Christmas Tree,2013,Seasonal,51
30218-1,Snail,2015,Duplo,6
30220-1,Fire Speedboat,2013,City,40
30221-1,Fire Car,2013,City,36
30222-1,Police Helicopter,2013,City,33
30224-1,Lawn Mower,2013,City,41
30225-1,Seaplane,2013,City,37
30226-1,Police Helicopter ,2014,City,48
30227-1,Police Watercraft,2014,City,36
30228-1,Police ATV,2014,City,42
30229-1,Repair Lift,2014,City,40
30230-1,Mini Mech,2013,Space,28
30231-1,Space Insectoid,2013,Space,27
30240-1,Z-95 Headhunter,2013,Star Wars,54
30241-1,Mandalorian Fighter,2013,Star Wars,49
30242-1,Republic Frigate,2013,Star Wars,45
30243-1,Umbaran MHC,2013,Star Wars,49
30244-1,Anakin's Jedi Intercepter,2014,Star Wars,45
30246-1,Imperial Shuttle,2014,Star Wars,57
30247-1,ARC-170 Starfighter,2014,Star Wars,54
30272-1,A-Wing Starfighter,2015,Star Wars,58
30274-1,AT-DP,2015,Star Wars,65
30275-1,TIE Advanced Prototype,2015,Star Wars,47
30276-1,First Order Special Forces TIE Fighter Set,2015,Star Wars,41
30277-1,First Order Star Destroyer,2016,Star Wars,56
30278-1,Poe's X-wing Fighter,2015,Star Wars,64
30279-1,Kylo Ren's Command Shuttle,2016,Star Wars,43
30286-1,Christmas Tree,2015,Seasonal,65
30310-1,Arctic Scout,2014,City,39
30311-1,Swamp Police Helicopter,2015,City,51
30312-1,Demolition Driller,2015,City,40
30313-1,Garbage Truck,2015,City,48
30314-1,Go-Kart Racer,2015,City,45
30315-1,Space Utility Vehicle,2015,Town,39
303-2,Aeroplane,1964,Vehicle,46
30321-1,Duck,2016,Duplo,4
30338-1,Fire Car,2017,Town,32
30346-1,Prison Island Helicopter,2016,City,46
30347-1,Fire Car,2016,City,53
30348-1,Mini Dumper,2016,City,45
30349-1,Sports Car,2016,City,47
30350-1,Volcano Jackhammer,2016,City,53
30351-1,Police Helicopter,2017,City,44
30352-1,Police Car,2017,City,50
30354-1,Hot Rod,2017,City,36
3038-1,Spider Slayer,1998,Technic,367
304-2,Tractor & Trailer,1964,Vehicle,82
3047-1,Halloween Bucket,1998,Seasonal,256
30474-1,Reindeer,2016,Seasonal,77
30496-1,U-Wing Fighter,2017,Star Wars,55
305-1,Two Crater Plates,1979,Space,19
305-2,Fire Engine,1964,Vehicle,170
3054-1,Kelloggs Promotional Set: TECHNIC Motorcycle,1998,Model,30
3057-1,Create 'n' Race - Master Builders,2000,Model,106
3058-1,Busy City - Master Builders (Masterbuilders),2000,Town,73
3059-1,Mars Mission - Master Builders (Masterbuilders),2000,Town,90
30602-1,First Order Stormtrooper,2016,Star Wars,29
30605-1,Finn (FN-2187),2016,Star Wars,27
306-1,Two Lunar Landing Plates,1979,Space,19
30611-1,R2-D2,2017,Star Wars,70
3066-1,Cosmos Glider,1999,Town,19
3066-3,Circus Acrobat Polybag,2013,Duplo,3
3067-1,Test Shuttle,1999,Town,21
3068-1,Radar Buggy,1999,Town,25
3069-1,Cosmic Wing,1999,Town,23
3070-1,Mosquito,1999,Space,23
3071-1,Light Flyer,1999,Space,23
3072-1,Mega Tack,1999,Space,23
3073-1,Booster,1999,Space,23
3093-1,Fun Playground,2001,Duplo,31
31003-1,Red Rotors,2013,Model,145
31006-1,Highway Speedster,2013,Model,286
31009-1,Small Cottage,2013,Model,271
31010-1,Treehouse,2013,Model,356
31011-1,Aviation Adventures,2013,Model,619
31012-1,Family House,2013,Model,755
31022-1,Turbo Quad,2014,Model,186
31031-1,Rainforest Animals,2015,Model,215
31032-1,Red Creatures,2015,Model,221
31035-1,Beach Hut,2015,Model,286
31036-1,Toy & Grocery Shop,2015,Model,465
311-4,Airplanes,1961,Vehicle,79
312-4,Boats,1961,Vehicle,107
313-1,London Bus,1966,Vehicle,140
314-2,Large & Small Wheels & Turn-Table,1963,Vehicle,35
315-3,European Taxie,1963,Vehicle,48
316-2,Farm Tractor,1963,Vehicle,49
317-1,Truck,1963,Vehicle,125
3177-1,Small Car,2010,City,43
